Species	Subject	Sex	Session	Session_cont	Trial	Phase	Condition	con2	food_level	Success	Number_of_turns	Latency	Comment
small-clawed otters	James	m	2		6	2	free_spin	free_spin	high	1	1	10	
small-clawed otters	James	m	2		7	2	free_spin	free_spin	high	1	1	9	
small-clawed otters	James	m	2		8	2	free_spin	free_spin	high	1	3	52	
small-clawed otters	Rudi	m	2		5	2	free_spin	free_spin	high	1	1	102	
small-clawed otters	Rudi	m	2		6	2	free_spin	free_spin	high	1	1	47	
small-clawed otters	Rudi	m	2		7	2	free_spin	free_spin	high	1	7	48	
small-clawed otters	Rudi	m	2		8	2	free_spin	free_spin	high	1	1	64	
small-clawed otters	Blacky	m	3		9	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Blacky	m	3		10	2	free_spin	free_spin	high	1	1	6	
small-clawed otters	Blacky	m	3		11	2	free_spin	free_spin	high	1	1	6	
small-clawed otters	Blacky	m	3		12	2	free_spin	free_spin	high	1	1	12	
small-clawed otters	James	m	3		9	2	free_spin	free_spin	high	1	1	23	
small-clawed otters	James	m	3		10	2	free_spin	free_spin	high	1	1	10	
small-clawed otters	James	m	3		11	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	James	m	3		12	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Twoface	m	2		5	2	free_spin	free_spin	high	1	1	15	
small-clawed otters	Twoface	m	2		6	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Twoface	m	2		7	2	free_spin	free_spin	high	1	1	14	
small-clawed otters	Twoface	m	2		8	2	free_spin	free_spin	high	1	2	13	
small-clawed otters	Twoface	m	3		9	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Twoface	m	3		10	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Twoface	m	3		11	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Twoface	m	3		12	2	free_spin	free_spin	high	1	1	11	
small-clawed otters	Rudi	m	3		9	2	free_spin	free_spin	high	1	1	25	
small-clawed otters	Rudi	m	3		10	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Rudi	m	3		11	2	free_spin	free_spin	high	1	1	8	
small-clawed otters	Rudi	m	3		12	2	free_spin	free_spin	high	1	1	39	
small-clawed otters	Blacky	m	1		1	3	response_window	response_window	high	1	1	10	
small-clawed otters	Blacky	m	1		2	3	response_window	response_window	high	1	6	41	grabbed the food from underneath
small-clawed otters	Blacky	m	1		3	3	response_window	response_window	high	1	1	20	
small-clawed otters	Blacky	m	1		4	3	response_window	response_window	high	1	1	9	
small-clawed otters	James	m	1		1	3	response_window	response_window	high	1	2	33	
small-clawed otters	James	m	1		2	3	response_window	response_window	high	1	2	24	
small-clawed otters	James	m	1		3	3	response_window	response_window	high	1	1	17	
small-clawed otters	James	m	1		4	3	response_window	response_window	high	1	2	34	"ate the some remaining cat food on the floor first, first touched the wheel after 14 sec"
small-clawed otters	Twoface	m	1		1	3	response_window	response_window	high	1	1	25	
small-clawed otters	Twoface	m	1		2	3	response_window	response_window	high	1	2	18	
small-clawed otters	Twoface	m	1		3	3	response_window	response_window	high	1	1	13	
small-clawed otters	Twoface	m	1		4	3	response_window	response_window	high	1	2	14	repeated twice because the food fell off the wheel (the arm wasn’t secured properly)
small-clawed otters	Rudi	m	1		1	3	response_window	response_window	high	1	1	39	grabbed food from top
small-clawed otters	Rudi	m	1		2	3	response_window	response_window	high	1	1	27	grabbed food from top
small-clawed otters	Rudi	m	1		3	3	response_window	response_window	high	1	1	24	grabbed food from top
small-clawed otters	Rudi	m	1		4	3	response_window	response_window	high	1	1	18	grabbed food from top
small-clawed otters	Blacky	m	2		5	3	response_window	response_window	high	1	1	12	grabbed the food from underneath
small-clawed otters	Blacky	m	2		6	3	response_window	response_window	high	1	1	6	grabbed the food from underneath
small-clawed otters	Blacky	m	2		7	3	response_window	response_window	high	1	2	17	grabbed the food from underneath
small-clawed otters	Blacky	m	2		8	3	response_window	response_window	high	1	1	11	grabbed the food from underneath
small-clawed otters	James	m	2		5	3	response_window	response_window	high	1	1	27	
small-clawed otters	James	m	2		6	3	response_window	response_window	high	1	1	12	
small-clawed otters	James	m	2		7	3	response_window	response_window	high	1	4	62	
small-clawed otters	James	m	2		8	3	response_window	response_window	high	1	1	20	
small-clawed otters	Rudi	m	2		5	3	response_window	response_window	high	1	3	27	grabbed food from top
small-clawed otters	Rudi	m	2		6	3	response_window	response_window	high	1	3	40	grabbed food from top
small-clawed otters	Rudi	m	2		7	3	response_window	response_window	high	1	12	47	grabbed food from top
small-clawed otters	Rudi	m	2		8	3	response_window	response_window	high	1	1	7	grabbed food from top
small-clawed otters	Twoface	m	2		5	3	response_window	response_window	high	1	1	7	
small-clawed otters	Twoface	m	2		6	3	response_window	response_window	high	1	2	19	
small-clawed otters	Twoface	m	2		7	3	response_window	response_window	high	1	4	48	
small-clawed otters	Twoface	m	2		8	3	response_window	response_window	high	1	1	17	
small-clawed otters	Blacky	m	1		1	4	response_window_large	response_window_large	high	1	1	19	
small-clawed otters	Blacky	m	1		2	4	response_window_large	response_window_large	high	1	8	98	
small-clawed otters	Blacky	m	1		3	4	response_window_large	response_window_large	high	1	2	14	
small-clawed otters	Blacky	m	1		4	4	response_window_large	response_window_large	high	1	6	88	
small-clawed otters	Rudi	m	1		1	4	response_window_large	response_window_large	high	1	2	20	
small-clawed otters	Rudi	m	1		2	4	response_window_large	response_window_large	high	1	2	19	
small-clawed otters	Rudi	m	1		3	4	response_window_large	response_window_large	high	1	1	38	
small-clawed otters	Rudi	m	1		4	4	response_window_large	response_window_large	high	1	1	6	
small-clawed otters	Blacky	m	2		5	4	response_window_large	response_window_large	high	1	1	18	
small-clawed otters	Blacky	m	2		6	4	response_window_large	response_window_large	high	1	4	36	
small-clawed otters	Blacky	m	2		7	4	response_window_large	response_window_large	high	1	1	18	
small-clawed otters	Rudi	m	2		5	4	response_window_large	response_window_large	high	1	1	12	
small-clawed otters	Rudi	m	2		6	4	response_window_large	response_window_large	high	1	3	42	
small-clawed otters	Rudi	m	2		7	4	response_window_large	response_window_large	high	1	1	19	
small-clawed otters	Rudi	m	2		8	4	response_window_large	response_window_large	high	1	3	42	
small-clawed otters	Twoface	m	1		1	4	response_window_large	response_window_large	high	1	3	36	
small-clawed otters	Twoface	m	1		2	4	response_window_large	response_window_large	high	1	1	12	
small-clawed otters	Twoface	m	1		3	4	response_window_large	response_window_large	high	1	1	22	
small-clawed otters	Twoface	m	1		4	4	response_window_large	response_window_large	high	1	1	12	
small-clawed otters	James	m	1		1	4	response_window_large	response_window_large	high	1	1	35	
small-clawed otters	James	m	1		2	4	response_window_large	response_window_large	high	1	3	53	
small-clawed otters	James	m	1		3	4	response_window_large	response_window_large	high	1	1	19	
small-clawed otters	James	m	1		4	4	response_window_large	response_window_large	high	1	1	17	
small-clawed otters	James	m	2		5	4	response_window_large	response_window_large	high	1	1	8	
small-clawed otters	James	m	2		6	4	response_window_large	response_window_large	high	1	2	25	
small-clawed otters	James	m	2		7	4	response_window_large	response_window_large	high	1	7	44	
small-clawed otters	James	m	2		8	4	response_window_large	response_window_large	high	1	1	18	
small-clawed otters	Twoface	m	2		5	4	response_window_large	response_window_large	high	1	2	35	
small-clawed otters	Twoface	m	2		6	4	response_window_large	response_window_large	high	1	1	8	
small-clawed otters	Twoface	m	2		7	4	response_window_large	response_window_large	high	1	1	16	
small-clawed otters	Twoface	m	2		8	4	response_window_large	response_window_large	high	1	9	55	
small-clawed otters	Blacky	m	1	1	1	5	response_window_large	response_window_large	extra high	1	13	120	got the food at the last second
small-clawed otters	Blacky	m	1	1	2	5	response_window_large	response_window_large	extra high	1	4	80	
small-clawed otters	Blacky	m	1	1	3	5	response_window_large	response_window_large	extra high	1	4	88	
small-clawed otters	Blacky	m	1	1	4	5	response_window_large	response_window_large	extra high	1	1	9	
